suburb,price
ABBOTSFORD,1250000
ABERFELDIE,1631000
AINTREE,748000
AIREYS INLET,1675000
AIRPORT WEST,945000
ALBANVALE,595000
ALBERT PARK,2202500
ALBION,765000
ALEXANDRA,477500
ALFREDTON,640000
ALLANSFORD,600000
ALPHINGTON,2076000
ALTONA,1135000
ALTONA EAST,1025000
ALTONA MEADOWS,690000
ALTONA NORTH,880500
ANGLESEA,1550000
APOLLO BAY,1080000
ARARAT,375000
ARDEER,628500
ARMADALE,2585000
ARMSTRONG CREEK,675000
ASCOT (GREATER BENDIGO),609500
ASCOT VALE,1300500
ASHBURTON,1992500
ASHWOOD,1455000
ASPENDALE,1332500
ASPENDALE GARDENS,1117000
ATTWOOD,950000
AVENEL,555000
AVOCA,350000
AVONDALE HEIGHTS,936000
AVONSLEIGH,725000
AXEDALE,515000
BACCHUS MARSH,640000
BADGER CREEK,732500
BAIRNSDALE,435000
BALACLAVA,1500000
BALCOMBE,1758500
BALLAN,607500
BALLARAT CENTRAL,607500
BALLARAT EAST,512500
BALLARAT NORTH,620000
BALNARRING,1250000
BALNARRING BEACH,2400000
BALWYN,2985000
BALWYN NORTH,2405000
BANDIANA,599000
BANNOCKBURN,710000
BARANDUDA,610000
BARWON HEADS,1823000
BAXTER,692500
BAYSWATER,871000
BAYSWATER NORTH,840500
BEACONSFIELD,915000
BEACONSFIELD UPPER,1202500
BEAUFORT,405000
BEAUMARIS,2040000
BEECHWORTH,730000
BELGRAVE,815000
BELGRAVE HEIGHTS,850000
BELGRAVE SOUTH,1125000
BELL PARK,610000
BELL POST HILL,620000
BELLFIELD (BANYULE),944000
BENALLA,430000
BENDIGO,540000
BENTLEIGH,1690000
BENTLEIGH EAST,1430000
BERWICK,855000
BEVERIDGE,650000
BIRCHIP,225000
BIRREGURRA,850000
BITTERN,850000
BLACK HILL,626000
BLACK ROCK,2287500
BLACKBURN,1600000
BLACKBURN NORTH,1284500
BLACKBURN SOUTH,1350000
BLAIRGOWRIE,1657500
BLIND BIGHT,806000
BONBEACH,1105000
BONNIE BROOK,671500
BONNIE DOON,630000
BONSHAW,560000
BOOLARRA,450000
BOORT,270000
BORONIA,855000
BOTANIC RIDGE,872500
BOX HILL,1680000
BOX HILL NORTH,1333000
BOX HILL SOUTH,1500000
BRAYBROOK,712000
BREAKWATER,575000
BRIAGOLONG,436500
BRIAR HILL,1001000
BRIGHT,1100000
BRIGHTON,3200000
BRIGHTON EAST,2425000
BROADFORD,550000
BROADMEADOWS,560000
BROOKFIELD,560000
BROOKLYN,740000
BROWN HILL,740000
BRUNSWICK,1300000
BRUNSWICK EAST,1400000
BRUNSWICK WEST,1275000
BRUTHEN,470000
BULLEEN,1398000
BUNDALONG,968000
BUNDOORA,858500
BUNINYONG,680000
BUNYIP,730000
BURNLEY,1582500
BURNSIDE,752500
BURNSIDE HEIGHTS,745000
BURWOOD,1497500
BURWOOD EAST,1280000
CAIRNLEA,936500
CALIFORNIA GULLY,461000
CAMBERWELL,2538000
CAMPBELLFIELD,605000
CAMPBELLS CREEK,722500
CAMPERDOWN,470000
CANADIAN,535000
CANTERBURY,3252500
CAPE PATERSON,804500
CAPE SCHANCK,1524000
CAPEL SOUND,740000
CARDIGAN,1045000
CARLTON,1485000
CARLTON NORTH,1480000
CARNEGIE,1675000
CAROLINE SPRINGS,730500
CARRUM,1030000
CARRUM DOWNS,695000
CASTERTON,290000
CASTLEMAINE,725000
CAULFIELD,1786000
CAULFIELD NORTH,2620000
CAULFIELD SOUTH,1945000
CHADSTONE,1290000
CHARLEMONT,610000
CHARLTON,320000
CHELSEA,1200000
CHELSEA HEIGHTS,906500
CHELTENHAM,1342000
CHELTENHAM EAST,1150000
CHELTENHAM NORTH,1050000
CHILTERN,390000
CHIRNSIDE PARK,900000
CHURCHILL,345000
CLARINDA,950000
CLAYTON,1165000
CLAYTON NORTH,1306000
CLAYTON SOUTH,947500
CLIFTON HILL,1725000
CLIFTON SPRINGS,670000
CLUNES,510000
CLYDE,675500
CLYDE NORTH,720000
COBBLEBANK,642500
COBDEN,395000
COBRAM,437500
COBURG,1180000
COBURG EAST,1130000
COBURG NORTH,980000
COCKATOO,760000
COHUNA,325000
COLAC,480000
COLDSTREAM,805000
COLERAINE,207500
COLLINGWOOD,1225000
CONNEWARRE,1896500
COOLAROO,530500
COONANS HILL,1205000
COONGULLA,457500
CORINELLA,695000
CORIO,480000
CORONET BAY,580000
CORRYONG,320000
COWES,800000
COWES WEST,779000
